apol,AMR,nBondsS2,Sv,Sse,Spe,Si,TSRW,band gap(eV),Feimi energy(eV),HOMO,Adsorption Energy(eV)
1.333586,0,1,0.541827804,1.887836854,1.725490196,16.28556048,0,3.771,-3.688,-5.64,0
1.902,1.4429,0,1.47276267,2.493809177,2.541176471,16.85757485,2.564949357,1.178,-4.731,-4.723,0
1.604,2.8858,0,1.429598209,2.661325564,2.698039216,16.30904192,2.564949357,1.052,-3.832,-5.803,0
3.364,6.3844,0,2.429598209,3.661325564,3.698039216,23.05173653,4.852030264,3.744,-3.628,-5.566,0
8.570379,17.5954,4,4.101490942,6.004005827,5.749019608,44.98786168,4.852030264,3.623,-3.611,-5.474,0
6.810379,14.2958,4,3.101490942,5.004005827,4.749019608,38.24516707,2.564949357,3.39,-3.559,-5.321,0
2.2,0,0,1.515927132,2.32629279,2.384313725,17.40610778,2.564949357,3.159,-4.009,-5.614,0
2.771,6.3699,3,2.697627519,5.533139111,5.874509804,40.00149701,6.59441346,3.027,-3.986,-5.558,0
10.7,27.8924,1,3.159939752,2.023306628,2.08627451,12.51647904,2.564949357,1.151,-5.272,-5.948,0
3.002,4.445,0,2.230726237,3.656955572,3.733333333,25.56062874,4.852030264,3.536,-3.831,-5.638,0
3.988,8.309,4,3.586218604,6.826656956,7.243137255,48.4739521,7.913521017,3.767,-3.672,-5.622,0
7.422379,12.858,4,4.285504376,7.325564457,7.129411765,54.77130479,5.993961427,3.728,-4.281,-6.21,0
4.427172,0,4,2.083655608,4.775673707,4.450980392,39.31381557,0.693147181,3.73,-3.745,-5.676,0
3.100379,0,3,1.570705272,3.994901675,3.780392157,33.13139461,0.693147181,3.705,-3.935,-5.852,0
4.504,2.8858,0,2.616652962,3.738164603,3.709803922,22.51264072,4.852030264,1.385,-5.048,-5.81,0
2.562,0,0,1.714799104,2.330662782,2.349019608,14.89721557,2.564949357,2.905,-4.085,-5.566,0
9.110379,19.6429,4,3.392711582,4.843408594,4.631372549,37.42927485,2.564949357,3.073,-3.811,-5.413,0
6.187172,9.9758,4,3.083655608,5.775673707,5.450980392,46.05651018,2.564949357,3.746,-3.889,-5.819,0
3.370793,7.7391,2,2.458475677,4.768390386,4.752941176,33.15487605,4.852030264,1.457,-4.89,-5.681,0
