HeavyAtomCount,HeavyAtomMolWt,apol,AMR,nAtom,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsM,bpol,Sv,Sse,Spe,Sare,Sp,Si,Mv,Mse,Mpe,Mare,Mp,Mi,TPSA,TSRW,MW,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,band gap(eV),Feimi energy(eV),HOMO,LUMO,Adsorption Energy(eV)
0,0,1.333586,0,2,0,1,1,1,0,0,0,0,0,0,0.541827804,1.887836854,1.725490196,1.76,0.798554491,16.28556048,0.270913902,0.943918427,0.862745098,0.88,0.399277246,8.14278024,0,0,2.015650064,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.771,-3.688,-5.64,-1.869,-0.158609808
2,30.006,1.902,1.4429,2,1,1,0,0,0,1,1,0,1,0.298,1.47276267,2.493809177,2.541176471,2.628,1.138922156,16.85757485,0.736381335,1.246904588,1.270588235,1.314,0.569461078,8.428787425,39.37,2.564949357,29.99798862,0,2,0,0,0,0,1,0,2,1,0,0,0,11,1.178,-4.731,-4.723,-3.545,-0.224061389
2,31.998,1.604,2.8858,2,1,1,0,0,0,1,1,0,1,0,1.429598209,2.661325564,2.698039216,2.8,0.960479042,16.30904192,0.714799104,1.330662782,1.349019608,1.4,0.480239521,8.154520958,34.14,2.564949357,31.98982924,0,2,0,0,0,0,2,0,2,0,0,0,0,12,1.052,-3.832,-5.803,-4.75,-0.262290685
3,44.009,3.364,6.3844,3,2,2,0,0,0,2,2,0,2,1.916,2.429598209,3.661325564,3.698039216,3.8,1.960479042,23.05173653,0.80986607,1.220441855,1.232679739,1.266666667,0.653493014,7.683912176,34.14,4.852030264,43.98982924,0,2,0,0,0,0,2,0,2,0,0,0,0,16,3.744,-3.628,-5.566,-1.822,-0.273621512
3,103.926,8.570379,17.5954,6,2,5,4,4,1,1,1,0,1,4.569621,4.101490942,6.004005827,5.749019608,5.736,5.024179042,44.98786168,0.683581824,1.000667638,0.958169935,0.956,0.837363174,7.497976946,0,4.852030264,105.9418122,0,0,0,0,0,0,0,0,1,0,0,0,0,18,3.623,-3.611,-5.474,-1.851,-0.274729016
2,91.915,6.810379,14.2958,5,1,4,4,4,1,0,0,0,0,4.569621,3.101490942,5.004005827,4.749019608,4.736,4.024179042,38.24516707,0.620298188,1.000801165,0.949803922,0.9472,0.804835808,7.649033413,0,2.564949357,93.9418122,0,0,0,0,0,0,0,0,1,0,0,0,0,14,3.39,-3.559,-5.321,-1.931,-0.276301834
2,28.014,2.2,0,2,1,1,0,0,0,0,0,1,1,0,1.515927132,2.32629279,2.384313725,2.456,1.317365269,17.40610778,0.757963566,1.163146395,1.192156863,1.228,0.658682635,8.703053892,47.58,2.564949357,28.006148,0,2,0,0,0,0,2,0,2,0,0,0,0,10,3.159,-4.009,-5.614,-2.456,-0.292274926
4,71.001,2.771,6.3699,4,3,3,3,3,3,0,0,0,0,1.629,2.697627519,5.533139111,5.874509804,6.148,1.659281437,40.00149701,0.67440688,1.383284778,1.468627451,1.537,0.414820359,10.00037425,3.24,6.59441346,70.99828366,0,1,0,0,0,0,1,0,4,0,0,0,0,26,3.027,-3.986,-5.558,-2.53,-0.310122884
2,253.808,10.7,27.8924,2,1,1,1,1,1,0,0,0,0,0,3.159939752,2.023306628,2.08627451,1.768,6.407185629,12.51647904,1.579969876,1.011653314,1.043137255,0.884,3.203592814,6.258239521,0,2.564949357,253.808946,0,0,0,0,0,0,0,0,2,0,0,0,0,14,1.151,-5.272,-5.948,-4.797,-0.350428409
3,44.013,3.002,4.445,3,2,2,0,0,0,2,2,0,2,0.298,2.230726237,3.656955572,3.733333333,3.856,1.79760479,25.56062874,0.743575412,1.218985191,1.244444444,1.285333333,0.599201597,8.520209581,53.47,4.852030264,44.00106262,0,3,0,0,0,0,1,0,3,0,0,0,0,16,3.536,-3.831,-5.638,-2.102,-0.367285871
5,88.003,3.988,8.309,5,4,4,4,4,4,0,0,0,0,4.812,3.586218604,6.826656956,7.243137255,7.56,2.334131737,48.4739521,0.717243721,1.365331391,1.448627451,1.512,0.466826347,9.694790419,0,7.913521017,87.99361288,0,0,0,0,0,0,0,0,4,0,0,0,0,32,3.767,-3.672,-5.622,-1.855,-0.375751338
4,54.028,7.422379,12.858,7,3,6,4,4,1,2,2,0,2,5.557621,4.285504376,7.325564457,7.129411765,7.268,4.336753892,54.77130479,0.612214911,1.046509208,1.018487395,1.038285714,0.61953627,7.824472113,29.43,5.993961427,57.02146372,0,2,0,0,0,0,2,0,2,0,0,0,0,22,3.728,-4.281,-6.21,-2.482,-0.385103896
1,12.011,4.427172,0,5,0,4,4,4,0,0,0,0,0,4.372828,2.083655608,4.775673707,4.450980392,4.52,2.597108982,39.31381557,0.416731122,0.955134741,0.890196078,0.904,0.519421796,7.862763114,0,0.693147181,16.03130013,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.73,-3.745,-5.676,-1.946,-0.398510953
